ID	Name	Strasse	PLZ	Ort	Adresse
223	LANDI Stammertal Genossenschaft	Amtacker 2	8476	Unterstammheim	"Amtacker 2, Unterstammheim, Switzerland"
224	LANDI Wisligzäller Genossenschaft	Dorfstrasse 9	8484	Weisslingen	"Dorfstrasse 9, Weisslingen, Switzerland"
225	LANDI Wila-Turbenthal	St. Gallerstrasse 18	8488	Turbenthal	"St. Gallerstrasse 18, Turbenthal, Switzerland"
226	LANDI Seerücken Genossenschaft	Hauptstrasse 21	8507	Hörhausen	"Hauptstrasse 21, Hörhausen, Switzerland"
227	LANDI Thurland Genossenschaft	Schaffhauserstrasse 5	8524	Uesslingen	"Schaffhauserstrasse 5, Uesslingen, Switzerland"
228	LANDI Hüttwilen und Umgebung	im Winkel 4	8536	Hüttwilen	"im Winkel 4, Hüttwilen, Switzerland"
229	LANDI Eulachtal Genossenschaft	Spycherweg 5	8542	Wiesendangen	"Spycherweg 5, Wiesendangen, Switzerland"
230	LANDI Weinland Genossenschaft	Grüterstrasse 2	8545	Rickenbach	"Grüterstrasse 2, Rickenbach, Switzerland"
231	LANDI Thurland Genossenschaft	Tegelbachstrasse 4	8546	Islikon	"Tegelbachstrasse 4, Islikon, Switzerland"
232	LANDI Thurland Genossenschaft	Hauptstrasse 36	8552	Felben	"Hauptstrasse 36, Felben, Switzerland"
233	LANDI Mittelthurgau	Dorfstrasse 18	8560	Märstetten	"Dorfstrasse 18, Märstetten, Switzerland"
234	LANDI Mittelthurgau	Weiherhüslistrasse 2	8564	Sonterswil	"Weiherhüslistrasse 2, Sonterswil, Switzerland"
235	LANDI Mittelthurgau	Oberfeldenstrasse 1	8570	Weinfelden	"Oberfeldenstrasse 1, Weinfelden, Switzerland"
236	LANDI Berg Genossenschaft	Leberenstrasse 1	8572	Berg TG	"Leberenstrasse 1, Berg TG, Switzerland"
237	LANDI Kemmental Genossenschaft	Alterswilerstrasse 6	8573	Siegershausen	"Alterswilerstrasse 6, Siegershausen, Switzerland"
238	LANDI Markt Aachtal AG	Schrofenstrasse 20	8580	Amriswil	"Schrofenstrasse 20, Amriswil, Switzerland"
239	LANDI Mittelthurgau	Hauptstrasse 1	8584	Leimbach	"Hauptstrasse 1, Leimbach, Switzerland"
240	LANDI Markt Altnau	Wuhrwiesenstrasse 7	8595	Altnau	"Wuhrwiesenstrasse 7, Altnau, Switzerland"
241	LANDI Zola AG	Tolackerstrasse 30	8604	Hegnau-Volketswil	"Tolackerstrasse 30, Hegnau-Volketswil, Switzerland"
242	LANDI Zola AG	Mettlenbachstrasse 11	8617	Mönchaltorf	"Mettlenbachstrasse 11, Mönchaltorf, Switzerland"
243	LANDI Wetzikon-Seegräben Genossenschaft	Motorenstrasse 87	8620	Wetzikon	"Motorenstrasse 87, Wetzikon, Switzerland"
244	LANDI Hombrechtikon Genossenschaft	Rütistrasse 9	8634	Hombrechtikon	"Rütistrasse 9, Hombrechtikon, Switzerland"
245	LANDI Bachtel Genossenschaft	Kreuzstrasse 10	8635	Dürnten	"Kreuzstrasse 10, Dürnten, Switzerland"
246	LANDI Bachtel Genossenschaft	Bahnhofstrasse 42	8636	Wald	"Bahnhofstrasse 42, Wald, Switzerland"
247	LANDI Goldingen	Laupenstrasse 2	8638	Goldingen	"Laupenstrasse 2, Goldingen, Switzerland"
248	LANDI mittlerer Zürisee Genossenschaft	Gruebstrasse 93	8706	Meilen	"Gruebstrasse 93, Meilen, Switzerland"
249	LANDI Stäfa-Männedorf	Laubisrütistrasse 40	8712	Stäfa	"Laubisrütistrasse 40, Stäfa, Switzerland"
250	LANDI Linth Genossenschaft	Landistrasse 2	8718	Schänis	"Landistrasse 2, Schänis, Switzerland"
251	LANDI Linth Genossenschaft	Schulhausstrasse 21	8722	Kaltbrunn	"Schulhausstrasse 21, Kaltbrunn, Switzerland"
252	LANDI See AG	Tunnelstrasse 2	8732	Neuhaus	"Tunnelstrasse 2, Neuhaus, Switzerland"
253	Landi Glarnerland AG	Hauptstrasse 95	8756	Mitlödi	"Hauptstrasse 95, Mitlödi, Switzerland"
254	LANDI Zimmerberg	Industriestrasse 15	8820	Wädenswil	"Industriestrasse 15, Wädenswil, Switzerland"
255	LANDI Einsiedeln AG	Alpstrasse 4	8840	Einsiedeln	"Alpstrasse 4, Einsiedeln, Switzerland"
256	BV Landi March Genossenschaft	Bahnhofstrasse 65	8854	Siebnen	"Bahnhofstrasse 65, Siebnen, Switzerland"
257	LANDI Sarganserland AG	Lochrietstrasse 22	8890	Flums	"Lochrietstrasse 22, Flums, Switzerland"
258	LANDI Bonstetten	Burgwies 1-3	8906	Bonstetten	"Burgwies 1-3, Bonstetten, Switzerland"
259	Landimärt	Muristrasse 2	8912	Obfelden	"Muristrasse 2, Obfelden, Switzerland"
260	LANDI Albis	Untere Bahnhofstrasse 20	8932	Mettmenstetten	"Untere Bahnhofstrasse 20, Mettmenstetten, Switzerland"
261	LANDI Furt- und Limmattal Genossenschaft	Schöneggstrasse 47	8953	Dietikon	"Schöneggstrasse 47, Dietikon, Switzerland"
262	LANDI Freiamt	Allmend 5	8967	Widen	"Allmend 5, Widen, Switzerland"
263	LANDI Appenzell AG	Mettlenstrasse 10	9050	Appenzell	"Mettlenstrasse 10, Appenzell, Switzerland"
264	LANDI Säntis AG	Landhausstrasse 6	9053	Teufen	"Landhausstrasse 6, Teufen, Switzerland"
265	LANDI Säntis AG	St. Gallerstr. 25	9100	Herisau	"St. Gallerstr. 25, Herisau, Switzerland"
266	LANDI Säntis AG	Hauptstrasse 10	9105	Schönengrund	"Hauptstrasse 10, Schönengrund, Switzerland"
267	LANDI Säntis AG	Herisauerstrasse 28	9107	Urnäsch	"Herisauerstrasse 28, Urnäsch, Switzerland"
268	LANDI Fürstenland AG	Bahnhofstrasse 22	9200	Gossau	"Bahnhofstrasse 22, Gossau, Switzerland"
269	LANDI Mittelthurgau	Käsereistr. 2	9217	Neukirch an der Thur	"Käsereistr. 2, Neukirch an der Thur, Switzerland"
270	LANDI Oberthurgau AG	Ibergstrasse 26	9220	Bischofszell	"Ibergstrasse 26, Bischofszell, Switzerland"
271	LANDI Thur AG	Niederuzwilerstrasse	9240	Niederglatt SG	"Niederuzwilerstrasse, Niederglatt SG, Switzerland"
272	LANDI Oberbüren AG	Sandackerstrasse 24	9245	Oberbüren	"Sandackerstrasse 24, Oberbüren, Switzerland"
273	LANDI Fürstenland AG	Erlackerstrasse 14	9300	Wittenbach	"Erlackerstrasse 14, Wittenbach, Switzerland"
274	LANDI Oberthurgau AG	Im Pünt 2 / Steineloh	9320	Frasnacht	"Im Pünt 2 / Steineloh, Frasnacht, Switzerland"
275	LANDI Goldach-Mörschwil	St.Gallerstrasse 17	9402	Mörschwil	"St.Gallerstrasse 17, Mörschwil, Switzerland"
276	LANDI Goldach-Mörschwil	Sulzstrasse 21	9403	Goldach	"Sulzstrasse 21, Goldach, Switzerland"
277	LANDI St. Margrethen AG	Industriestrasse 43	9430	St. Margrethen	"Industriestrasse 43, St. Margrethen, Switzerland"
278	LANDI Oberrheintal Genossenschaft	Oberrieterstrasse 87	9450	Altstätten	"Oberrieterstrasse 87, Altstätten, Switzerland"
279	LANDI Buchs AG	Mühleäulistrasse 1	9470	Buchs	"Mühleäulistrasse 1, Buchs, Switzerland"
280	LANDI Wartau Genossenschaft	Fährhüttenstr. 9	9477	Trübbach	"Fährhüttenstr. 9, Trübbach, Switzerland"
281	LANDI Thur AG	Churfirstenstrasse 3	9500	Wil	"Churfirstenstrasse 3, Wil, Switzerland"
282	LANDI Thur AG	Henauerstrasse	9524	Zuzwil	"Henauerstrasse, Zuzwil, Switzerland"
283	LANDI Kirchberg	Hausenstrasse 4	9533	Kirchberg SG	"Hausenstrasse 4, Kirchberg SG, Switzerland"
284	LANDI Matzingen Genossenschaft	St. Gallerstrasse 50	9548	Matzingen	"St. Gallerstrasse 50, Matzingen, Switzerland"
285	LANDI Oberthurgau AG	Hauptstrasse 30	9562	Märwil	"Hauptstrasse 30, Märwil, Switzerland"
286	LANDI Bütschwil AG	Adlerweg 31	9606	Bütschwil	"Adlerweg 31, Bütschwil, Switzerland"
287	LANDI Bütschwil AG	Bütschwilerstrasse 1	9607	Mosnang	"Bütschwilerstrasse 1, Mosnang, Switzerland"
288	LANDI Ganterschwil-Lütisburg	Toggenburgerstrasse 5	9608	Ganterschwil	"Toggenburgerstrasse 5, Ganterschwil, Switzerland"
289	LANDI Wattwil AG	Floozstrasse 7	9630	Wattwil	"Floozstrasse 7, Wattwil, Switzerland"
290	LANDI Nesslau Genossenschaft	Toggenburgerstrasse 40	9652	Neu St. Johann	"Toggenburgerstrasse 40, Neu St. Johann, Switzerland"
